name,dept,adjustedcount,homepage,scholarid,profile_url
J. Zico Kolter,Carnegie Mellon University,43.00797,http://www.zicokolter.com,UXh1I6UAAAAJ,https://scholar.google.com/citations?user=UXh1I6UAAAAJ
Zhendong Su 0001,ETH Zurich,42.93923,http://web.cs.ucdavis.edu/~su,RivxoIcAAAAJ,https://scholar.google.com/citations?user=RivxoIcAAAAJ
Moni Naor,Weizmann Institute of Science,42.87602,https://www.weizmann.ac.il/pages/search/people?language=english&single=1&person_id=2337,stSUaHAAAAAJ,https://scholar.google.com/citations?user=stSUaHAAAAAJ
Abhinav Gupta 0001,Carnegie Mellon University,42.797313,http://www.cs.cmu.edu/~abhinavg,NOSCHOLARPAGE,https://scholar.google.com/citations?user=NOSCHOLARPAGE
Dahua Lin,Chinese University of Hong Kong,42.605145,http://dahualin.org,GMzzRRUAAAAJ,https://scholar.google.com/citations?user=GMzzRRUAAAAJ
Chen Change Loy,Nanyang Technological University,42.37814,http://personal.ie.cuhk.edu.hk/~ccloy,559LF80AAAAJ,https://scholar.google.com/citations?user=559LF80AAAAJ
Josep Torrellas,Univ. of Illinois at Urbana-Champaign,42.205629,http://iacoma.cs.uiuc.edu/josep/torrellas.html,zdnAkgsAAAAJ,https://scholar.google.com/citations?user=zdnAkgsAAAAJ
Max Welling,University of Amsterdam,42.19466,https://staff.fnwi.uva.nl/m.welling,8200InoAAAAJ,https://scholar.google.com/citations?user=8200InoAAAAJ
Raymond J. Mooney,University of Texas at Austin,42.09799,https://www.cs.utexas.edu/~mooney,p9RsPG4AAAAJ,https://scholar.google.com/citations?user=p9RsPG4AAAAJ
Deva Ramanan,Carnegie Mellon University,42.07627,http://www.cs.cmu.edu/~deva,9B8PoXUAAAAJ,https://scholar.google.com/citations?user=9B8PoXUAAAAJ
Lawrence Carin,Duke University,42.00461,https://ece.duke.edu/people/lawrence-carin,yuxwFscAAAAJ,https://scholar.google.com/citations?user=yuxwFscAAAAJ
Iryna Gurevych,TU Darmstadt,41.610209,https://www.ukp.tu-darmstadt.de/people/group-heads/prof-dr-iryna-gurevych,t3A39e8AAAAJ,https://scholar.google.com/citations?user=t3A39e8AAAAJ
Ian D. Reid 0001,MBZUAI,41.56944,https://mbzuai.ac.ae/study/faculty/ian-reid,ATkNLcQAAAAJ,https://scholar.google.com/citations?user=ATkNLcQAAAAJ
Xiangyu Zhang 0001,Purdue University,41.335208,https://www.cs.purdue.edu/homes/xyzhang,PXbu1wIAAAAJ,https://scholar.google.com/citations?user=PXbu1wIAAAAJ
David R. Karger,Massachusetts Institute of Technology,41.301539,http://people.csail.mit.edu/karger,2vQRGrYAAAAJ,https://scholar.google.com/citations?user=2vQRGrYAAAAJ
Yu Qiao 0001,Chinese Academy of Sciences,40.983317,http://mmlab.siat.ac.cn/yuqiao/index.html,gFtI-8QAAAAJ,https://scholar.google.com/citations?user=gFtI-8QAAAAJ
Christos H. Papadimitriou,Columbia University,40.83872,https://www.cs.berkeley.edu/~christos,rXYLXJMAAAAJ,https://scholar.google.com/citations?user=rXYLXJMAAAAJ
Mihir Bellare,Univ. of California - San Diego,40.8333,https://cseweb.ucsd.edu/~mihir,2pW1g5IAAAAJ,https://scholar.google.com/citations?user=2pW1g5IAAAAJ
Dimitris N. Metaxas,Rutgers University,40.77294,https://www.cs.rutgers.edu/~dnm,a7VNhCIAAAAJ,https://scholar.google.com/citations?user=a7VNhCIAAAAJ
Luke Zettlemoyer,University of Washington,40.40692,https://www.cs.washington.edu/people/faculty/lsz,UjpbO6IAAAAJ,https://scholar.google.com/citations?user=UjpbO6IAAAAJ
Christian Theobalt,Max Planck Society,40.336245,,,
Hwee Tou Ng,National University of Singapore,40.31651,https://www.comp.nus.edu.sg/~nght,FABZCeAAAAAJ,https://scholar.google.com/citations?user=FABZCeAAAAAJ
Amit Sahai,Univ. of California - Los Angeles,40.25201,http://www.cs.ucla.edu/~sahai,gqB23VMAAAAJ,https://scholar.google.com/citations?user=gqB23VMAAAAJ
Hal Daumé III,University of Maryland - College Park,40.024157,http://www.umiacs.umd.edu/~hal,PbEw81gAAAAJ,https://scholar.google.com/citations?user=PbEw81gAAAAJ
Moshe Tennenholtz,Technion,39.98433,https://web.iem.technion.ac.il/en/people/userprofile/Moshet.html,NOSCHOLARPAGE,https://scholar.google.com/citations?user=NOSCHOLARPAGE
Jason Cong,Univ. of California - Los Angeles,39.879092,http://vast.cs.ucla.edu/people/faculty/jason-cong,UVGe0gQAAAAJ,https://scholar.google.com/citations?user=UVGe0gQAAAAJ
Kyoung Mu Lee,Seoul National University,39.82509,https://cv.snu.ac.kr/~kmlee,Hofj9kAAAAAJ,https://scholar.google.com/citations?user=Hofj9kAAAAAJ
Martin T. Vechev,ETH Zurich,39.35939,http://www.srl.inf.ethz.ch/vechev.php,aZ1Rh50AAAAJ,https://scholar.google.com/citations?user=aZ1Rh50AAAAJ
Ken-ichi Kawarabayashi,National Institute of Informatics,39.25477,https://kklab.nii.ac.jp/en,NOSCHOLARPAGE,https://scholar.google.com/citations?user=NOSCHOLARPAGE
Brent Waters,University of Texas at Austin,39.24156,http://www.cs.utexas.edu/~bwaters,VEKxHOAAAAAJ,https://scholar.google.com/citations?user=VEKxHOAAAAAJ
Ion Stoica,Univ. of California - Berkeley,39.146759,http://www.cs.berkeley.edu/~istoica,vN-is70AAAAJ,https://scholar.google.com/citations?user=vN-is70AAAAJ
Joseph Y. Halpern,Cornell University,39.11656,https://www.cs.cornell.edu/home/halpern,FsBCAfgAAAAJ,https://scholar.google.com/citations?user=FsBCAfgAAAAJ
David A. Forsyth,Univ. of Illinois at Urbana-Champaign,39.099533,http://luthuli.cs.uiuc.edu/~daf,5H0arvkAAAAJ,https://scholar.google.com/citations?user=5H0arvkAAAAJ
Dan Suciu,University of Washington,39.05945,https://homes.cs.washington.edu/~suciu,SIxd6jgAAAAJ,https://scholar.google.com/citations?user=SIxd6jgAAAAJ
Regina Barzilay,Massachusetts Institute of Technology,38.86353,http://people.csail.mit.edu/regina,NOSCHOLARPAGE,https://scholar.google.com/citations?user=NOSCHOLARPAGE
René Vidal,University of Pennsylvania,38.8214,https://www.grasp.upenn.edu/people/rene-vidal,uT8fgagAAAAJ,https://scholar.google.com/citations?user=uT8fgagAAAAJ
Henrik I. Christensen,Univ. of California - San Diego,38.80834,http://www.hichristensen.net,MA8rI0MAAAAJ,https://scholar.google.com/citations?user=MA8rI0MAAAAJ
Yangsheng Xu,CUHK (SZ),38.7832,https://sse.cuhk.edu.cn/en/faculty/xuyangsheng,NOSCHOLARPAGE,https://scholar.google.com/citations?user=NOSCHOLARPAGE
Yejin Choi 0001,University of Washington,38.770601,http://homes.cs.washington.edu/~yejin,vhP-tlcAAAAJ,https://scholar.google.com/citations?user=vhP-tlcAAAAJ
Ariel D. Procaccia,Harvard University,38.7108,http://procaccia.info,8ZpV-lkAAAAJ,https://scholar.google.com/citations?user=8ZpV-lkAAAAJ
John F. Canny,Univ. of California - Berkeley,38.609859,https://www2.eecs.berkeley.edu/Faculty/Homepages/canny.html,LAv0HTEAAAAJ,https://scholar.google.com/citations?user=LAv0HTEAAAAJ
Leslie Pack Kaelbling,Massachusetts Institute of Technology,38.59628,http://people.csail.mit.edu/lpk,NOSCHOLARPAGE,https://scholar.google.com/citations?user=NOSCHOLARPAGE
Cho-Jui Hsieh,Univ. of California - Los Angeles,38.37036,http://web.cs.ucla.edu/~chohsieh,Wy89g4IAAAAJ,https://scholar.google.com/citations?user=Wy89g4IAAAAJ
Gerhard Weikum,Max Planck Society,38.02052,,,
Min Zhang 0005,Harbin Institute of Technology,38.01079,https://zhangminsuda.github.io/Pesonel-Information,CncXH-YAAAAJ,https://scholar.google.com/citations?user=CncXH-YAAAAJ
Dale Schuurmans,University of Alberta,38.00515,https://webdocs.cs.ualberta.ca/~dale,xaQuPloAAAAJ,https://scholar.google.com/citations?user=xaQuPloAAAAJ
Martin D. F. Wong,Hong Kong Baptist University,37.87386,https://www.hkbu.edu.hk/en/about/university-officers/professor-martin-wong.html,WPhoQiUAAAAJ,https://scholar.google.com/citations?user=WPhoQiUAAAAJ
Gregory D. Hager,Johns Hopkins University,37.796519,http://www.cs.jhu.edu/~hager,ivApfKcAAAAJ,https://scholar.google.com/citations?user=ivApfKcAAAAJ
Maxim Likhachev,Carnegie Mellon University,37.76395,https://www.ri.cmu.edu/ri-faculty/maxim-likhachev,Ic8NqXwAAAAJ,https://scholar.google.com/citations?user=Ic8NqXwAAAAJ
Venkatesan Guruswami,Univ. of California - Berkeley,37.54988,https://people.eecs.berkeley.edu/~venkatg,Es6jE1kAAAAJ,https://scholar.google.com/citations?user=Es6jE1kAAAAJ
Lei Zhang 0006,The Hong Kong Polytechnic University,37.20831,https://www4.comp.polyu.edu.hk/~cslzhang,tAK5l1IAAAAJ,https://scholar.google.com/citations?user=tAK5l1IAAAAJ
Maosong Sun 0001,Tsinghua University,37.139709,http://www.tsinghua.edu.cn/publish/csen/4623/2010/20101224193416561782037/20101224193416561782037_.html,zIgT0HMAAAAJ,https://scholar.google.com/citations?user=zIgT0HMAAAAJ
Ryan Cotterell,ETH Zurich,37.131409,https://ryancotterell.github.io,DexOqtoAAAAJ,https://scholar.google.com/citations?user=DexOqtoAAAAJ
Ivan Damgård,Aarhus University,36.85223,https://cs.au.dk/~ivan,-UhqXIEAAAAJ,https://scholar.google.com/citations?user=-UhqXIEAAAAJ
Thomas A. Henzinger,IST Austria,36.65229,http://pub.ist.ac.at/~tah,jpgplxUAAAAJ,https://scholar.google.com/citations?user=jpgplxUAAAAJ
Peter Wonka,KAUST,36.644119,https://www.kaust.edu.sa/en/study/faculty/peter-wonka,0EKXSXgAAAAJ,https://scholar.google.com/citations?user=0EKXSXgAAAAJ
Ravi Ramamoorthi,Univ. of California - San Diego,36.597019,https://cseweb.ucsd.edu/~ravir,q0MzO6cAAAAJ,https://scholar.google.com/citations?user=q0MzO6cAAAAJ
Alexei A. Efros,Univ. of California - Berkeley,36.42763,http://www.eecs.berkeley.edu/~efros,d97bGd8AAAAJ,https://scholar.google.com/citations?user=d97bGd8AAAAJ
Feiping Nie 0001,NWPU,36.39647,http://www.escience.cn/people/fpnie/index.html,2oB4nAIAAAAJ,https://scholar.google.com/citations?user=2oB4nAIAAAAJ
Hongyuan Zha,CUHK (SZ),36.34053,https://sds.cuhk.edu.cn/teacher/65,n1DQMIsAAAAJ,https://scholar.google.com/citations?user=n1DQMIsAAAAJ
Niloy J. Mitra,University College London,36.21678,http://www0.cs.ucl.ac.uk/staff/n.mitra,dPrZJWMAAAAJ,https://scholar.google.com/citations?user=dPrZJWMAAAAJ
Onur Mutlu,ETH Zurich,36.023274,https://people.inf.ethz.ch/omutlu,7XyGUGkAAAAJ,https://scholar.google.com/citations?user=7XyGUGkAAAAJ
Ronald S. Fearing,Univ. of California - Berkeley,35.96752,https://robotics.eecs.berkeley.edu/~ronf,mx9gMZ4AAAAJ,https://scholar.google.com/citations?user=mx9gMZ4AAAAJ
Claire Cardie,Cornell University,35.96302,http://www.cs.cornell.edu/home/cardie,ex9BQiIAAAAJ,https://scholar.google.com/citations?user=ex9BQiIAAAAJ
Hongdong Li,Australian National University,35.956402,http://users.cecs.anu.edu.au/~hongdong,Mq89JAcAAAAJ,https://scholar.google.com/citations?user=Mq89JAcAAAAJ
Sanjeev Khanna,University of Pennsylvania,35.833599,http://www.cis.upenn.edu/~sanjeev,HriWXcEAAAAJ,https://scholar.google.com/citations?user=HriWXcEAAAAJ
Martin C. Rinard,Massachusetts Institute of Technology,35.808299,http://people.csail.mit.edu/rinard,hxlxVEUAAAAJ,https://scholar.google.com/citations?user=hxlxVEUAAAAJ
Yun Fu 0001,Northeastern University,35.767920000000004,http://www1.ece.neu.edu/~yunfu,h-JEcQ8AAAAJ,https://scholar.google.com/citations?user=h-JEcQ8AAAAJ
Alex Aiken,Stanford University,35.732856,https://theory.stanford.edu/~aiken,3vKjkoQAAAAJ,https://scholar.google.com/citations?user=3vKjkoQAAAAJ
Bing Liu 0001,University of Illinois at Chicago,35.69639,https://www.cs.uic.edu/~liub,Kt1bjZoAAAAJ,https://scholar.google.com/citations?user=Kt1bjZoAAAAJ
Ji-Rong Wen,Renmin University of China,35.65866,http://info.ruc.edu.cn/academic_professor.php?teacher_id=64,tbxCHJgAAAAJ,https://scholar.google.com/citations?user=tbxCHJgAAAAJ
Csaba Szepesvári,University of Alberta,35.557629,https://www.ualberta.ca/~szepesva,zvC19mQAAAAJ,https://scholar.google.com/citations?user=zvC19mQAAAAJ
Stergios I. Roumeliotis,University of Minnesota,35.55386,http://www-users.cs.umn.edu/~stergios,c5HeXxsAAAAJ,https://scholar.google.com/citations?user=c5HeXxsAAAAJ
Kenneth Y. Goldberg,Univ. of California - Berkeley,35.36179,http://goldberg.berkeley.edu,8fztli4AAAAJ,https://scholar.google.com/citations?user=8fztli4AAAAJ
Leif Kobbelt,RWTH Aachen University,34.96647,https://www.graphics.rwth-aachen.de,eCsqoJgAAAAJ,https://scholar.google.com/citations?user=eCsqoJgAAAAJ
Gim Hee Lee,National University of Singapore,34.94288,https://sites.google.com/site/gimheelee,7hNKrPsAAAAJ,https://scholar.google.com/citations?user=7hNKrPsAAAAJ
Brad A. Myers,Carnegie Mellon University,34.93288,http://www.cs.cmu.edu/~bam,E1cp_aYAAAAJ,https://scholar.google.com/citations?user=E1cp_aYAAAAJ
Jeffrey Xu Yu,Chinese University of Hong Kong,34.784512,http://www.se.cuhk.edu.hk/people/yu.html,iHevumsAAAAJ,https://scholar.google.com/citations?user=iHevumsAAAAJ
Yuval Ishai,Technion,34.7205,http://www.cs.technion.ac.il/~yuvali,zc920lAAAAAJ,https://scholar.google.com/citations?user=zc920lAAAAAJ
Lydia E. Kavraki,Rice University,34.67763,http://www.cs.rice.edu/~kavraki,Q6pxNZYAAAAJ,https://scholar.google.com/citations?user=Q6pxNZYAAAAJ
Georg Gottlob,University of Oxford,34.676063,https://www.cs.ox.ac.uk/people/georg.gottlob,i72_SkUAAAAJ,https://scholar.google.com/citations?user=i72_SkUAAAAJ
James T. Kwok,HKUST,34.62568,http://www.cse.ust.hk/~jamesk,NOSCHOLARPAGE,https://scholar.google.com/citations?user=NOSCHOLARPAGE
Dit-Yan Yeung,HKUST,34.60827,https://www.cse.ust.hk/~dyyeung,nEsOOx8AAAAJ,https://scholar.google.com/citations?user=nEsOOx8AAAAJ
Chang Xu 0002,University of Sydney,34.60797,https://sydney.edu.au/engineering/about/our-people/academic-staff/c-xu.html,N4F_3eoAAAAJ,https://scholar.google.com/citations?user=N4F_3eoAAAAJ
Nassir Navab,TU Munich,34.58116,http://campar.in.tum.de/Main/NassirNavabCv,kzoVUPYAAAAJ,https://scholar.google.com/citations?user=kzoVUPYAAAAJ
Timothy M. Chan,Univ. of Illinois at Urbana-Champaign,34.54997,http://tmc.web.engr.illinois.edu,NOSCHOLARPAGE,https://scholar.google.com/citations?user=NOSCHOLARPAGE
Hui Xiong 0001,HKUST,34.53588,https://www.hkust-gz.edu.cn/people/hui-xiong,cVDF1tkAAAAJ,https://scholar.google.com/citations?user=cVDF1tkAAAAJ
Li-Chen Fu,National Taiwan University,34.48446,https://robotlab.csie.ntu.edu.tw,xJQGpUgAAAAJ,https://scholar.google.com/citations?user=xJQGpUgAAAAJ
David C. Parkes,Harvard University,34.46629,http://www.eecs.harvard.edu/~parkes,JUn8PgwAAAAJ,https://scholar.google.com/citations?user=JUn8PgwAAAAJ
Kwan-Liu Ma,Univ. of California - Davis,34.43755,http://www.cs.ucdavis.edu/~ma,LgL2HpkAAAAJ,https://scholar.google.com/citations?user=LgL2HpkAAAAJ
Hongsheng Li 0001,Chinese University of Hong Kong,34.42215,https://www.ee.cuhk.edu.hk/~hsli,BN2Ze-QAAAAJ,https://scholar.google.com/citations?user=BN2Ze-QAAAAJ
Beng Chin Ooi,National University of Singapore,34.414299,http://www.comp.nus.edu.sg/~ooibc,9560QjYAAAAJ,https://scholar.google.com/citations?user=9560QjYAAAAJ
Ming C. Lin,University of Maryland - College Park,34.3873,http://www.cs.umd.edu/~lin,ugFNit4AAAAJ,https://scholar.google.com/citations?user=ugFNit4AAAAJ
Michael K. Reiter,Duke University,34.26762,https://reitermk.github.io,qAKfQW0AAAAJ,https://scholar.google.com/citations?user=qAKfQW0AAAAJ
Liang Lin,Sun Yat-sen University,34.189339,http://www.linliang.net,Nav8m8gAAAAJ,https://scholar.google.com/citations?user=Nav8m8gAAAAJ
Zhiyuan Liu 0001,Tsinghua University,34.171362,http://nlp.csai.tsinghua.edu.cn/~lzy,dT0v5u0AAAAJ,https://scholar.google.com/citations?user=dT0v5u0AAAAJ
Toby Walsh,UNSW,34.16772,http://www.cse.unsw.edu.au/~tw,oOQ6x0IAAAAJ,https://scholar.google.com/citations?user=oOQ6x0IAAAAJ
Kathy McKeown,Columbia University,34.097087,http://www.cs.columbia.edu/~kathy,ujDhg2sAAAAJ,https://scholar.google.com/citations?user=ujDhg2sAAAAJ
Oded Goldreich 0001,Weizmann Institute of Science,34.05231,https://www.weizmann.ac.il/pages/search/people?language=english&single=1&person_id=1877,DLQW_LoAAAAJ,https://scholar.google.com/citations?user=DLQW_LoAAAAJ
Davide Scaramuzza 0001,University of Zurich,34.03217,http://rpg.ifi.uzh.ch,SC9wV2kAAAAJ,https://scholar.google.com/citations?user=SC9wV2kAAAAJ
Sham M. Kakade,Harvard University,33.93643,https://homes.cs.washington.edu/~sham,wb-DKCIAAAAJ,https://scholar.google.com/citations?user=wb-DKCIAAAAJ
Hujun Bao,Zhejiang University,33.78896,http://www.cad.zju.edu.cn/home/bao,NOSCHOLARPAGE,https://scholar.google.com/citations?user=NOSCHOLARPAGE
Volkan Cevher,EPFL,33.75355,https://people.epfl.ch/volkan.cevher,hlWhzU8AAAAJ,https://scholar.google.com/citations?user=hlWhzU8AAAAJ
Michael R. Lyu,Chinese University of Hong Kong,33.752463,http://www.cse.cuhk.edu.hk/lyu,uQnBgK0AAAAJ,https://scholar.google.com/citations?user=uQnBgK0AAAAJ
Fabio Ramos 0001,University of Sydney,33.69867,https://www.sydney.edu.au/engineering/about/our-people/academic-staff/fabio-ramos.html,NOSCHOLARPAGE,https://scholar.google.com/citations?user=NOSCHOLARPAGE
Maneesh Agrawala,Stanford University,33.662535,http://graphics.stanford.edu/~maneesh,YPzKczYAAAAJ,https://scholar.google.com/citations?user=YPzKczYAAAAJ
Martin Buss,TU Munich,33.62074,https://www.professoren.tum.de/buss-martin,lnXdaEwAAAAJ,https://scholar.google.com/citations?user=lnXdaEwAAAAJ
Kei Okada,University of Tokyo,33.61336,http://www.jsk.t.u-tokyo.ac.jp/~k-okada/index-e.html,D0I9x20AAAAJ,https://scholar.google.com/citations?user=D0I9x20AAAAJ
Frédo Durand,Massachusetts Institute of Technology,33.58255,http://people.csail.mit.edu/fredo,NJ9c4ygAAAAJ,https://scholar.google.com/citations?user=NJ9c4ygAAAAJ
Ramakant Nevatia,University of Southern California,33.54919,http://iris.usc.edu/people/nevatia,EUMYhUvzt6IC,https://scholar.google.com/citations?user=EUMYhUvzt6IC
Daniel Jurafsky,Stanford University,33.41781,http://web.stanford.edu/~jurafsky,uZg9l58AAAAJ,https://scholar.google.com/citations?user=uZg9l58AAAAJ
Alexander G. Schwing,Univ. of Illinois at Urbana-Champaign,33.340523,http://www.alexander-schwing.de,3B2c31wAAAAJ,https://scholar.google.com/citations?user=3B2c31wAAAAJ
James M. Rehg,Univ. of Illinois at Urbana-Champaign,33.166275,http://rehg.org,8kA3eDwAAAAJ,https://scholar.google.com/citations?user=8kA3eDwAAAAJ
Ping Luo 0002,University of Hong Kong,33.114221,http://luoping.me,aXdjxb4AAAAJ,https://scholar.google.com/citations?user=aXdjxb4AAAAJ
Benjamin Van Durme,Johns Hopkins University,33.042769,http://www.cs.jhu.edu/~vandurme,wIujAJoAAAAJ,https://scholar.google.com/citations?user=wIujAJoAAAAJ
Xuanjing Huang 0001,Fudan University,33.009293,http://www.cs.fudan.edu.cn/?page_id=1836,RGsMgZA4H78C,https://scholar.google.com/citations?user=RGsMgZA4H78C
Xiaodan Liang,Sun Yat-sen University,32.951923,https://www.cs.cmu.edu/~xiaodan1,voxznZAAAAAJ,https://scholar.google.com/citations?user=voxznZAAAAAJ
Tovi Grossman,University of Toronto,32.94427,http://www.tovigrossman.com,EZgkJ3sAAAAJ,https://scholar.google.com/citations?user=EZgkJ3sAAAAJ
Richard S. Zemel,Columbia University,32.92287,http://www.cs.toronto.edu/~zemel,iBeDoRAAAAAJ,https://scholar.google.com/citations?user=iBeDoRAAAAAJ
